account_id,username,bio,followers,posts,verified
40387258465,10ectravel,Travel Mom* Travel Enthusiasts*Explorer* Water Lover* Distination to be Determined,83,323,False
6442381848,9brainz,"Experts in transforming business digitally. 
•Web Development
•3D designing
•Game Development
•UI/Ux Designing
•App Development
•NFT",1410,796,False
2244570686,9series.inc,"Handcrafted Technology Solutions
Bellevue, Washington, USA",2655,517,False
63030402613,_.linox.___,"𝗦𝗮𝗿𝗻𝗮 𝗯𝗼𝗶 🇦🇹   
                                                                  7𝘁𝗲𝗲𝗻 💦
             𝗚𝗶𝗿𝗶𝗱𝗶𝗵 📍",681,35,False
77946511673,_.tahirrrrrrrrr,"Mana Ke zarurate'n zaruri Hai zindagi Ke liye 
Magar Ya Rasulallah ﷺ
Aap Se jaruri to jindagi Bhi Nahi 🫀
✨اش شاہ امام احمد رضا خان
@🥀",100,46,False
41824797271,__code_rbrain__,"💻 Coding | Programming  
🧠 Daily Logic & MCQs  
🚀 Learn • Practice • Improve",1,4,False
74446936037,__sowit_killr._ll,"Ꮶʀɪsʜᴜヅ Ꮢ ፝֟፝֟፝֟፝֟ꫝᴊ 🤴
😄किसी की हंसने की वजह बनो 
रुला तो हर कोई देता है !!🥹",1369,17,False
392155195,_anniebdavis_,"👩🏼‍🏫 left the classroom to build freedom
💪🏻 now helping others do the same
🤸🏼‍♀️ here for the ambitious, the driven, + the 9-5 misfits📲@davislifegroup",1598,2541,False
80081138943,_brocodememes,"Welcome to brocodememes!
For Coders Who Need a Break 😄
JS | Python | React | Node | SQL",240,77,False
78152881386,_broo__tech,"🚀 Exploring AI & Future Tech
🤖 AI Tools | Gadgets | Smart Devices
📱 Tech Reviews | Tips | Trends
💼 Business Inquiries:
brootech07@gmail.com",1044,34,False
67495603496,_codeglory,"🚀 Learn Coding in 30 Seconds  
💻 CSS • JS • Real Projects  
🔥 Daily Dev Tricks & UI Hacks  
🎯 Follow & Become Pro Developer",13,29,False
41191925272,_hemor_,Ghana's Largest and trusted online and walk in tech shop,880,102,False
74825409057,_kingcoderr_,"100 Days 🚀 • 18 Subjects 📚
Code 💻 | Concepts 🧠 | Consistency 🔁
Learn daily 📅, grow daily 📈",1502,110,False
68997645969,_nour.exe._,"Digital creator| tech & lifestyle 🖥️
Eldest daughter energy
Corporate majdoor by day. Creator by night
📩ugcwithnoureen@gmail.com
Available worldwide",126,20,False
72076108649,_scope._tech,"Learn. Build. Succeed.
  Data Science | Full Stack | Marketing | Analytics | Digital Marketing 
  Skill up with real-world training...",1349,1201,False
59623977657,_wtf_.speedyyy,"↓ Ethereal ↑✈️
                              ~being a loyal men🎀!
                               <3🫶🏼!!!",150,2,False
59624269923,a_to_z_editor_gk,,41,136,False
76923864083,aarav_nayar,"Revolutionizing the Digital World for 12+ Years 
🏆 1200+ Solutions Delivered | 6000+ Global Clients 
🚀 Grow with us! 
👉 www.kbizsoft.com",47,46,False
6701423013,abasarnepal,"Partner for HR Outsourcing
  
Corporate Life 👨‍💼👩‍💼",117,1158,False
4067473962,abdullah_1_09_2004,"Polyglot Software Engineer
Crafting scalable web & AI apps
Passionate about ML & AI 
UET CS'26",287,21,False
,ace_your_software_interviews,,0,0,False
61279001987,acermallbhayander,"Acer Mall exclusive store - Shop 16, ground floor, rashesh chs Ltd, 150 feet road,Opp maxus Mall Bhayander West Thane Maharashtra 401101.Mo.8928029259",114,33,False
74736851337,acharyax_edu,"🕐 One min, One Skill. No Fluff.
🧠 ChatGPT to Chatur Buddhi—We Teach What Schools Don’t.",19713,53,True
5487950580,acquaintsofttech,"Official Laravel Partner | Staff Augmentation | Bagisto & Statamic Partners | Hire Remote Developers | Web & Software Team 
Tech Tips & Insights 👇",866,1119,False
48077652073,adamanalytics,"Analyzing modern life through data & code
Python | Excel | Ethics | Existential Strategy
Structuring the chaos of complex systems
Read the analysis 👇",13,27,False
53383958999,adevss.official,"ADeVss empowers global businesses with innovation, reliability, and cutting-edge tech solutions.
Uniqueness | Guidance | Satisfaction | Transparency",7428,52,False
78382170425,adhd.lifeline,,0,9,False
26543131587,adichunchanagiri_institute,Adichunchanagiri Institute of Technology (AIT) was established in the year 1980 at Chikkamagalur. The institute is having highly qualified faculties,2665,1297,False
77132870440,aditya.tsxx,MERN Stack Freelancer | Building High-Performance Web Applications | Available for New Projects,11,82,False
56184314054,adityabakshi10,"⚡ Keploy Fellow | GGH @Google
🌐 Open Source | GSSoC '25
💻 Web Dev • DSA • APIs",163,728,False
80128878861,advaithtechnologies,"We specialize in delivering industry-relevant IT training programs, corporate learning solutions, soft skills development, and IT consulting services.",0,25,False
49295680559,adwait_tech,"We Turn OPT Dreams into Job Offers 🇺🇸
IT & Tech Placements
Trusted by 200+ Students
Career Strategy | Job Marketing
Start Your Journey Today 🚀",17,15,False
3284406659,aequiassets,"Swiss digital-asset research from Zurich Crypto Valley (2019). Q-V lens: code durability, liquidity depth, governance maturity.",9,27,False
45809578045,african.infotech,,0,2,False
4511432166,agroinfotech,"Since 2007, we have been at the forefront of digital agriculture in Nigeria...
Our Businesses: @AgDyna @agroinfotechlabs @agroinfotech.consulting",3344,2264,False
25852245467,agroinfotech.consulting,Digital Agribusiness Consulting Services,742,1537,False
74958730413,ahostingdotnet,https://www.ahosting.net/blog/does-your-wordpress-hosting-ip-address-affect-ai-search-the-2026-answer-will-surprise-you/,1,2,False
59716364940,ai.datascience.world,"Simplifying AI, Tech, Data & Applications
Creator ~ @sagarika_sachdeva",896,127,True
73375990752,ai5solutions,Somos uma empresa especializada em soluções impulsionadas por Inteligência Artificial.,6,5,False
,ai_diva_17,,0,0,False
39197933877,ai_integration.ai,"Simple AI integration quide that actually saves time
Small business owners → Save 20+ hrs/week
Claim you 50% now! -> use code Q0NTEYNA",0,13,False
40234950313,ai_kuranosuke,"Aiくらのすけ は、AIが完全自動で運営するAIニュース配信ページです。🤖
🔹 投稿はすべてAIが自動生成
🔹 完全無料・ほぼ無課金(画像生成に月30円)
AIが完全スタンドアロンで投稿し続けるのを楽しみたい方、是非フォローの程、宜しくお願いいたします♫",0,8,False
47725469622,ai_tips360,"🤖 Your Daily Dose of AI Hacks
🚀 Tools, Prompts & Shortcuts
⚡ Boost Productivity with AI
🔔 Tap Follow & Save for Daily AI Updates",10,9,False
65185336491,aibuteasy,"🧠 Making Al easy to understand for everyone
🚀 Follow @aibuteasy to stay updated",29955,397,False
63535772107,aimt_cse_363,"THIS IS OFFICIAL PAGE OF AIMT CSE BRANCH
DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING",618,410,False
38517095848,aip.rofitdaily,"Make money with AI 🤖💰  
Daily tools, prompts & side hustles  
No coding. Beginner-friendly  
👇 Start earning with AI",3,2,False
39145340823,aipplaybookshq,"Copy. Paste. Ship. 🚀 📚 AI Playbooks for busy pros ⚡ Custom prompts, workflows & imaging 💡 Got a weird request? DM us! 👇 Grab a book",59,6,False
78054609415,aiproductlabs,"🚀Stay ahead of the curve in AI!
🚨Daily updates on breakthrough tools, product launches, and industry news
Follow 👉@aiproductlabs for what’s next in AI",12239,212,False
72494119930,aischolars.in,"AI Scholars: Trusted Software Company & Training Institute in Sanjay Place, Agra. Empowering Innovation & Learning.",118,111,False
42869213887,aiseed.academy,"🏆 Global Data & AI Foundation Program 
🎓 Class 6-12 School Students
🚀 Building the next generation of AI Innovators
👇 FREE demo — link in bio",3,8,False
42987086202,aitakeoverwatch,"Your employer is already planning your replacement. We’ll tell you before they do.
— They won’t warn you. We will🔺",131,44,False
73883979757,aiupdatenow,"Daily Ai Updates 
📈| Advance Progress on Artificial Intelligence Technologies  
 👇| Follow For Daily Ai Updated Content",79,16,False
75384037117,aiwith.raj,"Accelerate Your Growth with AI!
For More details, visit us at :- www.aiwithraj.com",36,173,False
17917223509,aja_acoustics,"Excellence and innovation in acoustic design
See our latest Q&A with Julez Redding:
https://www.adrianjamesacoustics.com/education/qa-with-julez/",161,357,False
68889188191,ajit__official_04,"⁣⁣𓆩💖𓆪No Love🩷♡
⁣⁣𓆩😔𓆪apana time bhi aaye ga🤗
⁣⁣𓆩🚩𓆪jay shiri ram ᰔराधे राधे 
⁣⁣𓆩📸⁣⁣⁣⁣𓆪Photo video Editing KinG♥️☆
⁣⁣𓆩👻⁣⁣𓆪Crazy Ladka👿♡",5383,82,False
74274555136,alephtechchannel,"Tehnologia are canalul ei.
Aleph Tech trăiește în același ritm cu tine.
Gadgeturi. Inovație. AI. Viitor.
Smart content.
Stay Tech.⚡🤖🔬",133,597,False
41959304,alevsk,"OpSec, AppSec, CloudSec 
#cybersecurity @Google ♥️ To Build and Break Stuff. Wannabe #Hacker. Personal opinions.
 
PGP/MIT: 0xFF4F600D674B6DED",528,815,False
67060880345,alexaurtech,"When & Where You Need Us
More than just an IT company...
We are your Small Business IT Partner
Contact us at 281-646-1200 or results@alexaur.com",37,347,False
